,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
SILO.JK,0.0017967340035580503,"{'beta': array([-0.047]), 'alpha': array([0.002])}",1.03,"{'net_income': 116163000000.0, 'roa': 0.013783341809268441, 'op_revenue_v_net_income_margin': 6993961000000.0, 'current_ratio': 0.28588909869761703}",-24.21438279340487,8.95718158796868,257.893621706051,0.1454989890129794,,1.948140484537118,6.242424242424241
SIMA.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,{},,,0.0,0.0,,,
SIMP.JK,0.0005531409665214123,"{'beta': array([0.015]), 'alpha': array([0.001])}",0.49,"{'net_income': 234281000000.0, 'roa': 0.006621982701006122, 'op_revenue_v_net_income_margin': 14240419000000.0, 'current_ratio': 0.4754538694297451}",-26.36936364872468,15.113635911357573,24.745865402179433,0.5709382248167484,,1.5631096488582703,25.935828877005346
SINI.JK,0.0021393275371397085,"{'beta': array([0.031]), 'alpha': array([0.002])}",0.59,{},,,0.0,0.0,,,0.0
SIPD.JK,0.0008642461208763094,"{'beta': array([0.15]), 'alpha': array([0.001])}",0.31,"{'net_income': 14339000000.0, 'roa': 0.0054759229712276316, 'op_revenue_v_net_income_margin': 4326956000000.0, 'current_ratio': 0.6560055664309385}",-19.95804028707686,1961.5595075239398,0.4894065137038845,1.0243414424668726,,1.5918638317524603,0.20833333333333334
SKBM.JK,0.0010492007556764486,"{'beta': array([0.034]), 'alpha': array([0.001])}",0.33,"{'net_income': 10341078215.0, 'roa': 0.0058468416870489075, 'op_revenue_v_net_income_margin': 3155189146509.0, 'lt_debt_decreased_percent': 3.5910644021010225, 'current_ratio': 0.4560959359326963, 'percent_shares_outstanding': 0.12479817196363195}",-17.73329541589366,5.977156468567717,46.84501760535229,0.6512635343640054,,1.1534821222150922,9.157142857142857
SKLT.JK,0.0013270635168517674,"{'beta': array([0.033]), 'alpha': array([0.001])}",0.45,"{'net_income': 42521324247.0, 'roa': 0.05494683414901134, 'op_revenue_v_net_income_margin': 1211179486349.0, 'current_ratio': 0.4741258486206202}",-7.601842315847683,6.15590860020638,30.052428002878045,0.35434755296128323,,10.433818629355208,47.56756756756757
SKRN.JK,0.002537153929217557,"{'beta': array([0.227]), 'alpha': array([0.002])}",0.99,"{'net_income': 9776450308.0, 'roa': 0.006368951472169132, 'op_revenue_v_net_income_margin': 498007390894.0, 'lt_debt_decreased_percent': 0.5819042150270981, 'current_ratio': 0.6312317338058523}",21.048719534088185,1.37348273843695,382.2399694643853,1.3328807646784475,,1.7270877285346538,18.095238095238095
SKYB.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,{},,,0.0,0.0,,,
SLIS.JK,-0.003797261206148742,"{'beta': array([0.145]), 'alpha': array([-0.004])}",-1.18,"{'net_income': 26465223822.0, 'roa': 0.06899148398470807, 'op_revenue_v_net_income_margin': 385332841951.0, 'lt_debt_decreased_percent': 28.58166043900242, 'current_ratio': 0.5342552864713612}",-8.155320492297765,10.743634040856605,4.746997133935669,0.5803206450817596,,14.863760907209784,1.4705882352941175
