,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
BAPA.JK,0.0011413794762418716,[-0.168],[0.001],0.39,,,,13256809864.0,0.056911721771478886,53.66136926745648,-5.648097863272288,-8.852537829617553,0.023830962553742417,,-2.7853781699914126,0.0,,11.966527491421378,
BAPI.JK,0.0,[0.],[0.],,,,,,,,,0.0,0.0,,,0.0,,,
BATA.JK,-0.0022088205892784028,[-0.115],[-0.002],-1.2,,,,637345176000.0,0.38355629208918374,4.811835147682097,-136.73925384615384,-0.7313188948106343,0.27122276061447753,,-37.19284339270089,418.0223000000001,,,
BAUT.JK,-0.001508826132069295,,,-0.71,,,,,,,,0.0,0.0,,,0.7941176470588236,,,
BAYU.JK,0.0007295324879979765,[0.071],[0.001],0.4,,,,,,,,0.0,0.0,,,10.526315789473683,,,
BBCA.JK,0.0007017374953967918,[-0.008],[0.001],0.8,27131109000000.0,50978875000000.0,0.025224859881212633,49575335000000.0,0.8282634649205101,-4.284418552858065,220.0860563092296,45.777547968982766,0.03749632728183334,53652612000000.0,14.697534662742962,12.668982630272954,,,
BBHI.JK,0.006747042645440072,[-0.071],[0.007],1.66,37011391337.0,,0.014308545162071262,20274340559.0,0.8658246579845768,-81.16821230263353,1.7032158553038257,684.0002084129161,1.835173068293649,-441748478930.0,10.664064609148916,0.0,100.0,,
BBKP.JK,1.5549713187385087e-05,[-0.015],[0.],0.01,,,,4734799000000.0,0.8940881585359199,40.79691083521123,-17.330942824196452,-4.3852201678199085,2.6844281150776585,-12972257000000.0,-38.54867376919682,282.1948657894736,7.41042451426621,33.390548329397205,
BBLD.JK,0.0008808316913558244,[0.099],[0.001],0.41,20053000000.0,,0.004872087358885491,635761000000.0,0.7063443066453348,27.035665305553184,12.184348511239705,45.139877564454196,3.2549972491759442,,1.659115579619015,68.47113581818182,,,
BBMD.JK,0.0007082903701911505,[-0.074],[0.001],0.54,325932118524.0,1894438892644.0,0.023018202869435823,613951338041.0,0.7168550896750358,-9.516768194060026,80.93530095302403,24.834651583820413,0.04976813177190531,1902059574379.0,8.129477885729228,8.662189054726369,,,
BBNI.JK,0.001211718057429114,[-0.015],[0.001],1.06,3280403000000.0,74253924000000.0,0.0036803155662402487,51066081000000.0,0.8733675981349038,-4.778693030255229,5668.729079429653,1.0407976668720276,0.48998715045413244,75527364000000.0,2.976974299162956,25.57313977966102,11.411306064828983,,
