,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
ASMI.JK,-0.0025110672306922085,"{'beta': array([-0.04]), 'alpha': array([-0.002])}",-0.8,,-33.19639852286331,-9.881986856973741,-5.059711242655102,0.011324471230684408,,-19.963136763723522,0.0
ASPI.JK,-0.0002378998113597622,"{'beta': array([-0.34]), 'alpha': array([-0.])}",-0.09,,,,0.0,0.0,,,0.0
ASRI.JK,0.000566092685355918,"{'beta': array([0.053]), 'alpha': array([0.001])}",0.34,,-50.3656028795689,-52.30217154134952,-2.96354807902113,0.6875606976524191,,-11.066481112394422,27.09677419354839
ASRM.JK,0.00021950598549345113,"{'beta': array([0.025]), 'alpha': array([0.])}",0.17,,-16.00325190123434,215.40867207608682,7.427741810853589,0.018455909279623442,,13.026779588013323,50.46802562499999
ASSA.JK,0.001454612357535438,"{'beta': array([0.067]), 'alpha': array([0.001])}",0.61,,-40.304576509613796,23.609973592289247,34.09576028763132,3.1636149487721457,,6.789497858458563,4.241560124223603
ATAP.JK,-4.0895201368335235e-05,,-0.01,,,,0.0,0.0,,,2.3200000000000003
ATIC.JK,3.692265587772722e-05,"{'beta': array([-0.136]), 'alpha': array([0.])}",0.01,,-4.855249003068239,-265.6253268126771,-1.4079982676642515,15.136764081592556,,-410.92036931699437,7.219251336898395
AUTO.JK,0.0013101071061401776,"{'beta': array([-0.065]), 'alpha': array([0.001])}",0.97,,-21.663905803607168,0.4657937347659514,4744.589364454343,0.04340512635414836,,0.02181074240755427,55.150150678733034
AVIA.JK,-0.0005315892339987696,,-0.36,,-15.46368026688131,18.348955641279705,31.064438278856,0.009849653675757158,,24.252645546230674,7.017543859649122
AWAN.JK,0.005752929467478015,,1.46,,,,0.0,0.0,,,0.0
AXIO.JK,0.0011530654362704568,,0.42,,,,0.0,0.0,,,6.8181818181818175
AYAM.JK,-0.0013714519693442588,,-0.5,,,,0.0,0.0,,,0.0
AYLS.JK,0.0012481030575967021,"{'beta': array([-0.161]), 'alpha': array([0.001])}",0.38,,,,0.0,0.0,,,0.0
BABP.JK,0.0010922302782442619,"{'beta': array([0.048]), 'alpha': array([0.001])}",0.36,6,-2.4153746667582916,0.2366049152175493,215.5491991918571,0.48229124981418053,950634000000.0,0.6713351989412321,19.144786274509805
BABY.JK,-0.0033507822717981682,,-0.97,,,,0.0,0.0,,,0.0
BACA.JK,-0.0007838593730216432,"{'beta': array([0.055]), 'alpha': array([-0.001])}",-0.37,5,-20.18045750349454,3.0779330737776767,42.236136031523756,0.6325656599091314,-197534000000.0,3.743863505712967,0.0
BAIK.JK,,,,,,,0.0,0.0,,,0.0
